,state,name,lat,lon,type,capacity(MW),production (GWh)
2125,FL,Intercession City,28.262778000000004,-81.548611,GAS,1310.2,259.977001
2126,FL,International Paper Pensacola,30.5966,-87.3264,BIOMASS,82.8,404.026776
2127,FL,J D Kennedy,30.364818,-81.625967,GAS,538.6,37.302
2128,FL,J R Kelly,29.6461,-82.3208,GAS,238.7,242.833
2129,FL,J Woodruff,30.708571000000003,-84.863869,HYDRO,73.5,191.50900000000001
2130,FL,Jackson Mill,30.364444,-81.629722,GAS,43.5,0.0
2131,FL,Jacksonville Solar,30.320748,-81.956377,SOLAR,15.0,21.048000000000002
2132,FL,Lakeland Electric Co. (FL) - Aiport II,27.991144,-82.047303,SOLAR,3.5,0.0
2133,FL,Lakeland Electric Co. (FL)-Airport 1,27.988522999999997,-82.04729499999999,SOLAR,2.7,0.0
2134,FL,Lansing Smith Generating Plant,30.2686,-85.7003,GAS,1001.5,4506.286998
2135,FL,Lauderdale,26.0686,-80.1984,GAS,1863.2,4559.518077000001
2136,FL,Lee County Solid Waste Energy,26.631549,-81.76065600000001,BIOMASS,59.0,328.150001
2137,FL,Levy Nuclear Plant,29.072221999999996,-82.620278,NUCLEAR,2500.0,0.0
2138,FL,"LKL BLBD, LLC",28.066389,-82.0175,SOLAR,6.0,0.0
2139,FL,"LKL Kingfisher, LLC",28.043611,-81.898611,SOLAR,6.0,0.0
2140,FL,Lockheed Martin Solar System,28.0479,-82.6853,SOLAR,1.9,0.0
2141,FL,Manatee,27.6058,-82.3456,GAS,2951.2,7293.430975
2142,FL,Manatee County LFGTE,27.468889,-82.45083299999999,BIOMASS,1.6,11.882
2143,FL,Marathon Generating Plant,24.710832999999997,-81.0927,OIL,25.0,-0.28
2144,FL,Martin,27.0536,-80.5628,GAS,6071.5,10667.94702
2145,FL,McKay Bay Facility,27.949528000000004,-82.421182,BIOMASS,22.1,140.85299999999998
2146,FL,Miami Dade County Resource Recovery Fac,25.8356,-80.3566,BIOMASS,77.0,346.190001
2147,FL,Midulla Generating Station,27.641666999999998,-81.9625,GAS,1452.0,2508.670955
2148,FL,Midway,0.0,0.0,GAS,1287.0,0.0
2149,FL,MM Tomoka Farms Energy,29.0969,-81.0689,BIOMASS,3.8,20.229
2150,FL,Mosaic Co Bartow Facility,27.908,-81.9185,OTHF,81.9,326.75056
2151,FL,Mosaic Co Greenbay,27.845,-81.909722,OTHF,38.2,0.0
2152,FL,Mosaic Co Mulberry Facility,27.891666999999998,-81.925,OTHF,21.0,0.0
2153,FL,Mosaic Co Tampa Facility,27.8605,-82.3903,OTHF,77.9,225.65409
2154,FL,Mosaic New Wales Operations,27.833641999999998,-82.051937,OTHF,135.5,522.59016
2155,FL,Mosaic South Pierce Operations,27.765220000000003,-81.938787,OTHF,45.5,238.28400000000002
2156,FL,Mulberry Cogeneration Facility,27.8489,-81.8775,GAS,125.3,388.397
2157,FL,NA 1,0.0,0.0,GAS,195.0,0.0
2158,FL,Northside,30.4172,-81.5525,COAL,1407.1,3709.207914
2159,FL,Okeelanta Cogeneration,26.5769,-80.7469,GAS,128.9,241.017003
2160,FL,Oleander Power Project,28.3661,-80.7947,GAS,994.4,73.347
2161,FL,Orange Cogeneration Facility,27.870820000000002,-81.825061,GAS,136.6,319.2076
2162,FL,Orlando CoGen,28.442622999999998,-81.412343,GAS,122.4,906.8960000000001
2163,FL,Osceola,28.1289,-81.0978,GAS,600.0,49.301
2164,FL,Osceola Solar Facility,28.058078000000002,-81.241681,SOLAR,3.8,0.0
2165,FL,Osprey Energy Center,28.0525,-81.8083,GAS,644.2,1389.8529999999998
2166,FL,P L Bartow,27.859534999999997,-82.601759,GAS,1970.1,6807.183012
2167,FL,Palm Beach Renewable Energy Facility#1,26.771389000000003,-80.141944,BIOMASS,62.3,350.20000600000003
2168,FL,Palm Beach Renewable Energy Facility#2,26.772439000000002,-80.14181500000001,BIOMASS,96.0,0.0
2169,FL,Partnership Station,27.9253,-82.4414,GAS,5.8,0.0
2170,FL,Pasco Cnty Solid Waste Resource Recovery,28.3681,-82.5583,BIOMASS,31.2,171.503
2171,FL,Pea Ridge,30.59208,-87.135391,GAS,14.1,78.525
2172,FL,Pensacola Florida Plant,30.5958,-87.2525,GAS,102.0,655.3290000000001
2173,FL,Perdido,30.57,-87.39,BIOMASS,4.8,24.424
2174,FL,Phillips,27.4439,-81.3633,0,42.0,0.0
2175,FL,Pinellas County Resource Recovery,27.8733,-82.6741,BIOMASS,76.5,355.099
2176,FL,Polk,27.7286,-81.9897,COAL,3351.3,1704.1659969999998
2177,FL,Port Everglades,26.0856,-80.1253,GAS,3062.4,8.545
2178,FL,Portland (FL),30.573611,-86.21583299999999,OIL,11.0,0.0
2179,FL,Putnam,29.628338,-81.585084,GAS,580.0,591.502993
2180,FL,"Quantum Auburndale Power, LP",28.0542,-81.8058,GAS,173.5,0.7120000000000001
2181,FL,"Quantum Lake Power, LP",28.9158,-81.676,GAS,134.2,137.452
2182,FL,"Quantum Pasco Power, LP",28.374622,-82.188887,GAS,143.7,171.987
2183,FL,Rayonier Fernandina Mill,30.6612,-81.473,BIOMASS,54.5,261.615992
2184,FL,Reedy Creek,28.4263,-81.5809,GAS,70.0,369.445
2185,FL,Ridge Generating Station,28.0274,-81.8475,0,45.5,195.617997
2186,FL,Rinehart,28.770601,-81.353336,SOLAR,10.0,2.2569999999999997
2187,FL,Rio Pinar,28.541515000000004,-81.254067,OIL,19.2,0.084
2188,FL,Riviera Beach Energy Center,26.7653,-80.0525,GAS,1915.8,4826.932987
2189,FL,"RP-Orlando, LLC",28.488889,-81.182222,SOLAR,5.1,9.299
2190,FL,S O Purdom,30.162304,-84.200673,GAS,327.0,1255.693
2191,FL,Sanford,28.8419,-81.3256,GAS,2534.0,9206.252
2192,FL,Santa Rosa Energy Center,30.5664,-87.115,GAS,274.5,464.851
2193,FL,Sarasota County LFGTE Facility,27.203000000000003,-82.387,BIOMASS,6.4,0.0
2194,FL,Scholz Electric Generating Plant,30.6692,-84.8869,COAL,98.0,31.636999999999997
2195,FL,Seminole (136),29.733056,-81.632778,COAL,2321.8,8210.874049
2196,FL,Seminole Mill,30.4178,-81.5978,GAS,30.0,77.402
2197,FL,Shady Hills,28.3665,-82.558611,GAS,1059.2,625.345004
2198,FL,Smith Street,29.0219,-80.9644,OIL,12.5,0.0
2199,FL,South District Wastewater Treatment Plt,25.5664,-80.3325,BIOMASS,10.7,9.818
2200,FL,South Energy Center,29.6383,-82.34,GAS,4.1,23.708000000000002
2201,FL,South West Landfill,29.513056,-82.548055,BIOMASS,2.4,0.0
2202,FL,Southside Generating Station,30.316389,-81.648888,OIL,231.6,0.0
2203,FL,Space Coast Next Gen Solar Energy,28.4586,-80.6811,SOLAR,10.0,17.551
2204,FL,Springhill Gas Recovery Plant,30.928333000000002,-85.42611099999999,BIOMASS,4.8,28.268
2205,FL,SRF Sorghum to Ethanol Advanced Biorefin,26.588055999999998,-80.981111,BIOMASS,15.0,0.0
2206,FL,St Cloud,28.2447,-81.2881,GAS,29.9,0.0
2207,FL,St Josephs Hospital,27.9628,-82.5017,GAS,1.7,7.053999999999999
2208,FL,St Lucie,27.348611,-80.24638900000001,NUCLEAR,2160.0,15817.573999999999
2209,FL,St. Johns River Power,30.4308,-81.5508,COAL,1358.0,7144.486045000001
2210,FL,Standby Generation Plant,30.4736,-87.2361,GAS,13.7,2.7510000000000003
2211,FL,Stanton A,28.488246000000004,-81.166944,GAS,1017.3,1979.161
2212,FL,Stock Island,24.563333,-81.7342,OIL,134.0,3.093
2213,FL,Stone Container Panama City Mill,30.141984000000004,-85.621103,BIOMASS,34.0,236.607092
2214,FL,Suwannee River,30.376389,-83.18055600000001,OIL,330.6,524.9630000000001
2215,FL,Suwannee River Chemical Complex,30.4447,-82.7842,GAS,27.3,23.443
2216,FL,Swift Creek Chemical Complex,30.4522,-82.8644,OTHF,21.0,70.46300000000001
2217,FL,Tampa Electric Co NA 2,0.0,0.0,GAS,942.0,0.0
2218,FL,Tampa Electric Co NA 3,27.796255,-82.399486,GAS,99.0,0.0
2219,FL,Tampa Electric Co NA 4,0.0,0.0,GAS,200.0,0.0
2220,FL,Telogia Power,30.3349,-84.8182,BIOMASS,14.0,98.652
2221,FL,"The Mosaic Company, Plant City Facility",28.1663,-82.1388,OTHF,40.5,207.42092
2222,FL,TIA Solar,27.965797,-82.532816,SOLAR,1.6,0.0
2223,FL,Tiger Bay,27.746369,-81.849446,GAS,278.1,1072.432
2224,FL,Tom G Smith,26.612766999999998,-80.0677,GAS,146.2,13.649000000000001
2225,FL,Trail Ridge Landfill Gas Recovery,30.3167,-81.9833,BIOMASS,9.6,70.381
2226,FL,Treasure Coast Energy Center,27.383889,-80.3775,GAS,411.4,1862.817007
2227,FL,Tropicana Products Bradent,27.483358000000003,-82.54834100000001,GAS,46.8,183.52599999999998
2228,FL,Turkey Point,25.4356,-80.3308,NUCLEAR,3678.7,18371.295980000003
2229,FL,University of Florida,29.640278000000002,-82.348611,GAS,43.0,392.38800000000003
2230,FL,Unknown,27.627778000000003,-81.845,OIL,1560.0,0.0
2231,FL,Unnamed,0.0,0.0,0,1159.0,0.0
2232,FL,Unsited,0.0,0.0,GAS,896.0,0.0
2233,FL,Vandolah Power Project,27.523607000000002,-81.923951,GAS,728.0,319.648998
2234,FL,Vero Beach Municipal,27.633382,-80.377551,GAS,158.4,18.026
2235,FL,W E Swoope,29.0219,-80.9644,OIL,5.1,0.0
2236,FL,Waste Management Naples LFGTE Project,26.155832999999998,-81.658055,BIOMASS,4.0,25.039
2237,FL,West County Energy Center,26.6986,-80.3747,GAS,4263.0,19764.92329
2238,FL,Wheelabrator North Broward,26.2878,-80.1581,BIOMASS,67.6,173.951
2239,FL,Wheelabrator South Broward,26.0687,-80.1986,BIOMASS,66.0,322.30101
2240,FL,Winston,28.0274,-82.0164,OIL,50.0,0.064
